#	datafile Path	C:\data\asr\17060530.dat
#	datafile Name	17060530.dat
#	Download date	2017-06-05  
#	download Time	20:02:17
#	Software name	(@) ASRdown_tools.c
#	software Revision	76
#	software date	2004 January 12
#	ASR software version	R392d.MSA
#
#	? location where ASR was operated ? 
#	ceh rooftop June 5 2017 L8 & RE1
#	
#	? weather conditions ? 
#	very nice all day, some wv gradient to the W
#	
#	? ASR operator name ? 
#	daaron all times utc
#	
#	? observations and comments ? 
#	
#	
------------------------------------------------------

CHANNEL         4  20305
CHANNEL         5  26130
CHANNEL         6  33611
CHANNEL         7  44586
CHANNEL         8  43960
CHANNEL         9   7115
CHANNEL        10  30102
TIME         12  :  32  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  13041	ambient	    0
CHANNEL         2  13457	barometer	65535
CHANNEL         3  19578	humidity	65535
CHANNEL         4  20563
CHANNEL         5  26273
CHANNEL         6  33713
CHANNEL         7  44673
CHANNEL         8  43990
CHANNEL         9   7208
CHANNEL        10  30124
TIME         12  :  33  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  13289	ambient	    0
CHANNEL         2  13640	barometer	65535
CHANNEL         3  19707	humidity	65535
CHANNEL         4  20635
CHANNEL         5  26371
CHANNEL         6  33811
CHANNEL         7  44749
CHANNEL         8  44074
CHANNEL         9   7289
CHANNEL        10  30186
TIME         12  :  34  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  13478	ambient	    0
CHANNEL         2  13790	barometer	65535
CHANNEL         3  19914	humidity	65535
CHANNEL         4  20723
CHANNEL         5  26491
CHANNEL         6  33900
CHANNEL         7  44832
CHANNEL         8  44151
CHANNEL         9   7361
CHANNEL        10  30213
TIME         12  :  35  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  13691	ambient	    0
CHANNEL         2  13971	barometer	65535
CHANNEL         3  20075	humidity	65535
CHANNEL         4  20818
CHANNEL         5  26589
CHANNEL         6  34010
CHANNEL         7  45001
CHANNEL         8  44251
CHANNEL         9   7443
CHANNEL        10  30274
TIME         12  :  36  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  13921	ambient	    0
CHANNEL         2  14125	barometer	65535
CHANNEL         3  20242	humidity	65535
CHANNEL         4  20896
CHANNEL         5  26738
CHANNEL         6  34098
CHANNEL         7  44865
CHANNEL         8  44170
CHANNEL         9   7465
CHANNEL        10  30272
TIME         12  :  37  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  14167	ambient	    0
CHANNEL         2  14223	barometer	65535
CHANNEL         3  20400	humidity	65535
